microinvest_code,name_bg,unit_raw,unit,quantity,purchase_price
05020787,БУРГИЯ DIAGER STANDART 10/200*,БР.,pcs,4.000,2.26
05020480,БУРГИЯ DIAGER STANDART 12**,БР.,pcs,8.000,1.31
05020835,БУРГИЯ DIAGER STANDART 16/200*,БР.,pcs,10.000,3.80
05020577,БУРГИЯ DIAGER STANDART 3мм.**,БР.,pcs,13.000,0.51
05020581,БУРГИЯ DIAGER STANDART 6/200м*,БР.,pcs,2.000,1.52
05020583,БУРГИЯ DIAGER STANDART 8/200м*,БР.,pcs,2.000,1.66
05020739,БУРГИЯ SDS 12х210 GFB,БР.,pcs,8.000,0.61
05020738,БУРГИЯ SDS 12х260 GFB,БР.,pcs,11.000,0.72
05020737,БУРГИЯ SDS 12х260 OKR,БР.,pcs,2.000,0.72
05020736,БУРГИЯ SDS 14x350 OKR,БР.,pcs,1.000,1.18
05020735,БУРГИЯ SDS 14х350 RAIDER,БР.,pcs,1.000,1.18
05020464,БУРГИЯ SDS+10/160 БЕТОН/DIAGE*,БР.,pcs,8.000,2.42
05020465,БУРГИЯ SDS+10/210 БЕТОН/DIAGE*,БР.,pcs,2.000,3.73
05020467,БУРГИЯ SDS+10/310 БЕТОН/DIAGE*,БР.,pcs,6.000,5.80
05020468,БУРГИЯ SDS+12/160 БЕТОН/DIAGE*,БР.,pcs,17.000,3.11
05020470,БУРГИЯ SDS+12/260 БЕТОН/DIAGE*,БР.,pcs,14.000,5.71
05020471,БУРГИЯ SDS+12/310 БЕТОН/DIAGE*,БР.,pcs,5.000,7.32
05020488,БУРГИЯ SDS+14/160 БЕТОН/DIAGE*,БР.,pcs,2.000,5.14
05020487,БУРГИЯ SDS+14/210 БЕТОН/DIAGE*,БР.,pcs,4.000,6.03
05020661,БУРГИЯ SDS+14/260 БЕТОН DIAGE*,БР.,pcs,2.000,6.26
05020663,БУРГИЯ SDS+16/210 БЕТОН DIAGE*,БР.,pcs,4.000,6.84
05020664,БУРГИЯ SDS+16/260 БЕТОН DIAGE*,БР.,pcs,2.000,7.47
05020462,БУРГИЯ SDS+5/160 БЕТОН/DIAGER*,БР.,pcs,12.000,2.46
05020623,БУРГИЯ SDS+5/210 БЕТОН/DIAGER*,БР.,pcs,8.000,3.32
05020463,БУРГИЯ SDS+6/110 БЕТОН/DIAGER*,БР.,pcs,3.000,1.74
05020584,БУРГИЯ SDS+8/260 БЕТОН/DIAGER*,БР.,pcs,4.000,4.28
05020869,БУРГИЯ SPARKY SDS 12х100**,БР.,pcs,29.000,1.02
05020868,БУРГИЯ SPARKY SDS 16х250**,БР.,pcs,22.000,1.79
05010585,БУТАЛО ЗА 16л.ПРЪСКАЧКА**,БР.,pcs,47.000,3.07
03050020,БУТОН ЗВЪНЕЦ/Н.КИРОВ/-бял**,БР.,pcs,99.000,0.43
03050213,БУТОН ЗВЪНЕЦ/Н.КИРОВ/-черен**,БР.,pcs,98.000,0.43
03010005,БЪРЗОВАР-1kw/СОФИЯ/**,БР.,pcs,2.000,3.58
CH12029,ВАКУМ СИЛИКОНОВ ЗЕЛЕН  МТ-97,БР,pcs,94.000,0.66
05060018,ВАКУУМ ЗА МРЪСЕН КАНАЛ 135мм.*,БР.,pcs,48.000,0.32
01020060,"ВВН ""IGT""ДАНИЯ-ВИСОКО*",БР.,pcs,2.000,5.37
01020056,ВВН YB-150 СИВ MURAT,БР.,pcs,2.000,5.11
01010132,ВВН КОНКУРЕНТ,БР.,pcs,114.000,4.60
01010217,ВВН СИВ СОПОТ,БР.,pcs,13.000,2.30
01010047,"ВВН""СТАРГАЗ""",БР.,pcs,48.000,2.81
05070609-GP,ВЕНДА-ПАНТА 12см 5х3х3 ЖЪЛТО**,БР.,pcs,21.000,1.87
05070609-PN,ВЕНДА-ПАНТА 12см 5х3х3 САТЕН**,БР.,pcs,20.000,1.87
