sku,microinvest_code,name_bg,unit,unit_raw,quantity,purchase_price,retail_price,selling_price
NOC-F18B6EF540,,"ПФ02К  34       КОЛЯНО   3/4"" ПОЦ.",pcs,бр.,0.000,0.00,0.00,0.37
NOC-2C1764274E,,ПФ02К1/2МЖ      КОЛЯНО М/Ж   1/2 ЦИНК,pcs,бр.,0.000,0.00,0.00,0.24
NOC-4D3343AE6C,,СИ00  67591     КОФА ПОЦИНКОВАНА 12л РУСКА,pcs,БР.,0.000,0.00,0.00,1.74
NOC-53C54BF700,,ОСДРП 5/14Т     КРУШКА ЕН. 5/827 E14-FDE NVC,pcs,БР.,0.000,0.00,0.00,1.52
NOC-DCB1927535,,ОСДРП 5/14С     КРУШКА ЕН. 5/840 E14-FDE NVC,pcs,БР.,0.000,0.00,0.00,1.52
NOC-0F72ACDE23,,ОСДРП 8/14Т     КРУШКА ЕН. 8/827 E14-FDE NVC,pcs,БР.,0.000,0.00,0.00,1.57
NOC-ADF917A7F3,,ОСДРП 8/27Т     КРУШКА ЕН. 8/827 E27-FTE NVC,pcs,БР.,0.000,0.00,0.00,1.52
NOC-7E8760FBFD,,ОСДРП 8/14С     КРУШКА ЕН. 8/843 E14-FDE NVC,pcs,БР.,0.000,0.00,0.00,1.57
NOC-1D514708CA,,ОСДРП 8/27С     КРУШКА ЕН. 8/843 E27-FTE NVC,pcs,БР.,0.000,0.00,0.00,1.52
NOC-8553E754E0,,ОСДРС 9/27Т     КРУШКА ЕН. 9/827 E27-FMS NVC,pcs,БР.,0.000,0.00,0.00,1.98
NOC-FD132CE951,,ОСДРС 9/27С     КРУШКА ЕН. 9/843 E27-FMS NVC,pcs,БР.,0.000,0.00,0.00,1.98
NOC-BFE6A6FEAC,,ОСДРП11/27Т     КРУШКА ЕН.11/827 E27-FTE NVC,pcs,БР.,0.000,0.00,0.00,1.57
NOC-CA8F7293ED,,ОСДРП11/27С     КРУШКА ЕН.11/843 E27-FTE NVC,pcs,БР.,0.000,0.00,0.00,1.57
NOC-7DD7814555,,ОСДРС13/27Т     КРУШКА ЕН.13/827 E27-FMS NVC,pcs,БР.,0.000,0.00,0.00,2.13
NOC-D1B41898DF,,ОСДРС13/27С     КРУШКА ЕН.13/843 E27-FMS NVC,pcs,БР.,0.000,0.00,0.00,2.13
NOC-62D6EDF4ED,,ОСДРП14/27Т     КРУШКА ЕН.14/827 E27-FTE NVC,pcs,БР.,0.000,0.00,0.00,1.62
NOC-551ADDCE06,,ОСДРС15/27Т     КРУШКА ЕН.15/827 E27-FMS NVC,pcs,БР.,0.000,0.00,0.00,2.18
NOC-FF1EB634A9,,ОСДРС18/27Т     КРУШКА ЕН.18/827 E27-FAS NVC,pcs,БР.,0.000,0.00,0.00,2.13
NOC-B8588532C0,,ОСДРП18/27Т     КРУШКА ЕН.18/827 E27-FTE NVC,pcs,БР.,0.000,0.00,0.00,1.78
NOC-2911E5665C,,ОСДРС18/27С     КРУШКА ЕН.18/843 E27-FAS NVC,pcs,БР.,0.000,0.00,0.00,2.13
NOC-80571C9945,,ОСДРП18/27С     КРУШКА ЕН.18/843 E27-FTE NVC,pcs,БР.,0.000,0.00,0.00,1.78
NOC-22F29DFBF6,,ОСДРС20/27Т     КРУШКА ЕН.20/827 E27-FMS NVC,pcs,БР.,0.000,0.00,0.00,2.23
NOC-F8FEDCE0EF,,ОСДРС20/27С     КРУШКА ЕН.20/843 E27-FMS NVC,pcs,БР.,0.000,0.00,0.00,2.23
NOC-969E43454C,,ОСДРС23/27Т     КРУШКА ЕН.23/827 E27-FMS NVC,pcs,БР.,0.000,0.00,0.00,2.74
NOC-18080D5E64,,ОСДРС23/27С     КРУШКА ЕН.23/843 E27-FMS NVC,pcs,БР.,0.000,0.00,0.00,2.74
NOC-5C8DAE02D8,,ОСДРП24/27Т     КРУШКА ЕН.24/827 E27-FTE NVC,pcs,БР.,0.000,0.00,0.00,2.02
NOC-C7D2CF5BE3,,ОСДРП24/27С     КРУШКА ЕН.24/843 E27-FTE NVC,pcs,БР.,0.000,0.00,0.00,2.02
NOC-429A5BB3D6,,СКМ714/190- 20  КУКА ЗА СКЕЛЕ С ДЮБ.14х190/20б,pcs,БР.,0.000,0.00,0.00,0.85
NOC-0435B7F91E,,СКМ714/230- 20  КУКА ЗА СКЕЛЕ С ДЮБ.14х230/20б,pcs,БР.,0.000,0.00,0.00,1.10
NOC-AC425754A7,,СТ01  320       ЛАЙСНА 320 ПРОФ.СТЪП.10х24сива,pcs,бр.,0.000,0.00,0.00,2.20
NOC-ECBCB4D1F4,,СТ01  321       ЛАЙСНА 321 ПРОФ.СТЪП.10х24 жъл,pcs,бр.,0.000,0.00,0.00,2.20
NOC-5F79F7D0D5,,СТ01  323       ЛАЙСНА 323 ВЪН.12мм сива л пол,pcs,бр.,0.000,0.00,0.00,2.56
NOC-AE2848BB7B,,СТ01  324       ЛАЙСНА 324 ВЪН. 6мм сива,pcs,бр.,0.000,0.00,0.00,0.92
NOC-218DB853B7,,СТ01  325       ЛАЙСНА 325 ЗАВЪРШВ. U сив,pcs,бр.,0.000,0.00,0.00,1.81
NOC-FFBA8FE423,,СТ01  326       ЛАЙСНА 326 ЗАВЪРШВ. U жълт,pcs,бр.,0.000,0.00,0.00,1.81
NOC-28E32FDA99,,СТ01  328       ЛАЙСНА 328 ПРЕХОД Т 30мм жълт,pcs,бр.,0.000,0.00,0.00,2.07
NOC-2C0F45E761,,СТ01  329       ЛАЙСНА 329 ВЪН.12мм сива лукс,pcs,бр.,0.000,0.00,0.00,2.01
NOC-65931A4439,,СТ01  330       ЛАЙСНА 330 ВЪН.12мм жълта лукс,pcs,бр.,0.000,0.00,0.00,2.01
NOC-79A3126CF7,,СТ01  331       ЛАЙСНА 331 ВЪН.12мм жълта л.по,pcs,бр.,0.000,0.00,0.00,2.51
NOC-5B08721EB0,,СТ01  333       ЛАЙСНА 333 ВЪТ.12мм жълта поли,pcs,бр.,0.000,0.00,0.00,2.62
NOC-625F00255A,,СТ01  334       ЛАЙСНА 334 СТЪПАЛО F жълта пол,pcs,бр.,0.000,0.00,0.00,2.45
NOC-88478A6FEC,,СТ01  335       ЛАЙСНА 335 СТЪПАЛО G жълта пол,pcs,бр.,0.000,0.00,0.00,3.02
NOC-8238984700,,СТ01  336       ЛАЙСНА 336 ВЪТ.10мм жълта поли,pcs,бр.,0.000,0.00,0.00,2.05
NOC-CBFDE80109,,СТ01  337       ЛАЙСНА 337 ПРЕХОД дъга 4см бро,pcs,бр.,0.000,0.00,0.00,3.32
NOC-42A6D0BFCB,,СТ01  338       ЛАЙСНА 338 ВЪН.10мм жълта л.по,pcs,бр.,0.000,0.00,0.00,2.10
NOC-760C94B38F,,СТ01  370       ЛАЙСНА 370 ВЪН. 6мм жълта,pcs,бр.,0.000,0.00,0.00,0.92
NOC-EC9BBAAE97,,СТ01  371       ЛАЙСНА 371 ВЪН.10мм жълта поли,pcs,бр.,0.000,0.00,0.00,1.53
NOC-CA541055A9,,СТ01  372       ЛАЙСНА 372 СТЪП.10х24 бронз,pcs,бр.,0.000,0.00,0.00,3.04
NOC-ABFFC6352C,,СТ01  373       ЛАЙСНА 373 СТЪП.12мм сива,pcs,бр.,0.000,0.00,0.00,1.99
NOC-267F5A1033,,СТ01  374       ЛАЙСНА 374 СТЪП.12мм жълта,pcs,бр.,0.000,0.00,0.00,1.99
NOC-B75C3E8681,,СТ01  375       ЛАЙСНА 375 СТЪП.12мм бронз,pcs,бр.,0.000,0.00,0.00,2.69
NOC-9658E23476,,СТ01  376       ЛАЙСНА 376 СТЪП.12мм бронз пол,pcs,бр.,0.000,0.00,0.00,2.83
NOC-11B24A6522,,СТ01  377       ЛАЙСНА 377 ЗАВЪРШВ. U бронз,pcs,бр.,0.000,0.00,0.00,2.69
NOC-A70221EDFC,,СТ01  378       ЛАЙСНА 378 ВИНКЕЛ 15х15 бронз,pcs,бр.,0.000,0.00,0.00,2.41
NOC-878BA9DF25,,СТ01  379       ЛАЙСНА 379 ВИНКЕЛ 20х20бронз,pcs,бр.,0.000,0.00,0.00,2.69
NOC-5A89171FE4,,СТ01  380       ЛАЙСНА 380 ВИНКЕЛ 25х25бронз,pcs,бр.,0.000,0.00,0.00,3.58
NOC-AC68E4210D,,СТ01  381       ЛАЙСНА 381 ВИНКЕЛ 30х30 бронз,pcs,бр.,0.000,0.00,0.00,3.93
NOC-FD6273058A,,СТ01  382       ЛАЙСНА 382 ВИНКЕЛ 15х15сив пол,pcs,бр.,0.000,0.00,0.00,2.28
NOC-DCC4CDEF0F,,СТ01  383       ЛАЙСНА 383 ВИНКЕЛ 15х15жълт по,pcs,бр.,0.000,0.00,0.00,2.28
NOC-1B4BFD9A96,,СТ01  384       ЛАЙСНА 384 ВИНКЕЛ 20х20сив пол,pcs,бр.,0.000,0.00,0.00,2.69
NOC-64BB064F39,,СТ01  385       ЛАЙСНА 385 ВИНКЕЛ 20х20жълт по,pcs,бр.,0.000,0.00,0.00,2.69
NOC-85814E03DA,,СТ01  386       ЛАЙСНА 386 ВИНКЕЛ 25х25сив пол,pcs,бр.,0.000,0.00,0.00,3.32
